Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0805_2012Metric,155.1,-118.2,0,bottom
C11,1uF,C_0805_2012Metric,159.3,-118.2,180,bottom
C18,1uF,C_0805_2012Metric,118.8375,-126.6,0,bottom
C20,0.1uF,C_0805_2012Metric,122.9,-129.6,0,bottom
C21,0.1uF,C_0805_2012Metric,122.6375,-126.6,180,bottom
C26,0.1uF,C_0805_2012Metric,124.9,-112.94,180,bottom
C29,0.1uF,C_0805_2012Metric,100.33,-120.142,180,bottom
C30,0.1uF,C_0805_2012Metric,91.93,-108.95,0,bottom
C31,0.1uF,C_0805_2012Metric,93.66,-146.12,180,bottom
C32,0.1uF,C_0805_2012Metric,161.31,-146.17,180,bottom
C91,0.1uF,C_0805_2012Metric,106.05,-140.275,90,bottom
C92,1uF,C_0805_2012Metric,106.39,-146.76,0,bottom
D1,D,D_SOD-123,107.89,-107.63,180,bottom
D10,D_Zener,D_SMB,157.825,-121.75,0,bottom
D61,D,D_SOD-123,134.41,-146.59,0,bottom
D81,D,D_SOD-123,116.52,-107.38,180,bottom
J12,USB_B_Micro,USB_Micro-B_Molex-105017-0001,166.8105,-127.016,270,bottom
Q41,BC817,SOT-23,141.66,-137.98,270,bottom
Q51,BC817,SOT-23,90.13,-135.05,180,bottom
Q61,BC817,SOT-23,133.01,-143.14,180,bottom
Q71,BC817,SOT-23,96.96,-114.71,180,bottom
Q81,BC817,SOT-23,117.87,-111,270,bottom
R3,3.3K,R_0805_2012Metric,107.21,-120.1625,270,bottom
R4,27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.95,-119.91,180,bottom
R5,10K,R_0805_2012Metric,104.34,-120.1425,90,bottom
R18,47K,R_0805_2012Metric,119.16,-119.64,270,bottom
R19,10K,R_0805_2012Metric,121.75,-119.675,90,bottom
R41,100,R_0805_2012Metric,139.2625,-134.75,180,bottom
R51,100,R_0805_2012Metric,94.69,-137.29,180,bottom
R61,100,R_0805_2012Metric,136.6,-143,270,bottom
R71,10,R_1206_3216Metric,98.806,-132.842,0,bottom
R72,10,R_1206_3216Metric,98.99,-107.11,0,bottom
R73,10,R_1206_3216Metric,154.96,-147.11,0,bottom
R74,10,R_1206_3216Metric,154.98,-106.93,0,bottom
R79,100,R_0805_2012Metric,100.43,-114.58,90,bottom
R81,100,R_0805_2012Metric,110.24,-120.0925,90,bottom
