Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,27.625,8.425,90,bottom
C2,10 pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,20.4,8.6,90,bottom
C3,10 nF,C_0805_2012Metric,12.43,-6.62,180,bottom
C4,1 nF,C_0805_2012Metric,12.54,-1.88,180,bottom
C5,1 nF,C_0805_2012Metric,16.16,-8.18,270,bottom
C6,10uF,C_1206_3216Metric,19.25,-18.5,180,bottom
C10,1uF,C_0805_2012Metric,5.5,8,180,bottom
C11,1uF,C_0805_2012Metric,5.5625,16.5,180,bottom
C18,1uF,C_0805_2012Metric,18.82,-8.18,270,bottom
C20,0.1uF,C_0805_2012Metric,18.05,8.475,90,bottom
C21,0.1uF,C_0805_2012Metric,21.425,-8.125,270,bottom
C26,10uF,C_1206_3216Metric,-3.025,-4.15,270,bottom
C29,0.1uF,C_0805_2012Metric,12.55,0.425,180,bottom
C30,1uF,C_0805_2012Metric,-43.18,6.49,90,bottom
C31,1uF,C_0805_2012Metric,43.2,-6.9,270,bottom
C32,1uF,C_0805_2012Metric,2.54,-16.8425,270,bottom
D1,D,D_SOD-123,5.4,-12.6,90,bottom
D2,D,D_SOD-123,8.89,-17.78,0,bottom
D3,D,D_SOD-123,-12.29,-14.01,0,bottom
D4,D,D_SOD-123,-12.82,12.53,180,bottom
D5,red,LED_0805_2012Metric,33,18.6,180,bottom
D6,red,LED_0805_2012Metric,-33,-19.5,180,bottom
D7,red,LED_0805_2012Metric,0,19,0,bottom
D10,D_Zener,D_SMB,21.8,18.4,0,bottom
D12,red,LED_0805_2012Metric,-33.6,18.6,0,bottom
D51,IR,LED_1206_3216Metric,-42.6,0,90,bottom
F11,Fuse,R_1206_3216Metric,30.48,-10.16,180,bottom
F12,Polyfuse,R_1206_3216Metric,-31.4,-13,0,bottom
J19,USB_B_Micro,USB_Micro_B_Female_jlcpcb,47,0,270,bottom
Q51,BC817,SOT-23,11.5,11.25,0,bottom
Q71,BC817,SOT-23,33.85,7.1,0,bottom
R1,100,R_0805_2012Metric,33,16,0,bottom
R2,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-7.39,-14.14,0,bottom
R3,3.3K,R_0805_2012Metric,8.89,-11,0,bottom
R4,27,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.085,4.05,180,bottom
R5,10K,R_0805_2012Metric,8.89,-13.97,180,bottom
R6,330,R_0805_2012Metric,-33.5,-8.5625,270,bottom
R7,100,R_0805_2012Metric,0,16.1,180,bottom
R10,10,R_1206_3216Metric,30.48,-13.97,0,bottom
R11,10,R_1206_3216Metric,30.48,-17.78,0,bottom
R12,100,R_0805_2012Metric,-33.7,15,0,bottom
R18,47K,R_0805_2012Metric,21.59,-15.24,180,bottom
R19,10K,R_0805_2012Metric,16.51,-15.24,180,bottom
R30,10,R_1206_3216Metric,-37.88,8.05,270,bottom
R31,10,R_1206_3216Metric,37.8,-7.06,90,bottom
R32,10,R_1206_3216Metric,-1.4,-14.35,180,bottom
R42,33K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-17.7,12.58,180,bottom
R51,100,R_0805_2012Metric,11.525,6.8,180,bottom
R52,10,R_1206_3216Metric,11.6,16.2,0,bottom
R71,10,R_1206_3216Metric,-37.5,-8.85,90,bottom
R72,10,R_1206_3216Metric,37.5,8.6,90,bottom
R79,100,R_0805_2012Metric,29.1,3.375,0,bottom
U10,Low_dropout_regulator_TPS782,SOT-23-5,5.55,12.4,90,bottom
U20,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,21,0,270,bottom
Y21,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,23.825,8.475,180,bottom
