Comment,Designator,Footprint,LCSC
"1uF","C10,C11,C18,C30,C31,C32","Capacitor_SMD:C_0805_2012Metric",""
"10 pF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"0.1uF","C20,C21,C29","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C6,C26","Capacitor_SMD:C_1206_3216Metric",""
"10 nF","C3","Capacitor_SMD:C_0805_2012Metric",""
"1 nF","C4,C5","Capacitor_SMD:C_0805_2012Metric",""
"D_Zener","D10","Diode_SMD:D_SMB",""
"red","D5,D6,D7,D12","LED_SMD:LED_0805_2012Metric",""
"D","D1,D2,D3,D4","Diode_SMD:D_SOD-123",""
"IR","D51","LED_SMD:LED_1206_3216Metric",""
"red","D71,D72","LED_THT:LED_D3.0mm",""
"Fuse","F11","Resistor_SMD:R_1206_3216Metric",""
"Polyfuse","F12","Resistor_SMD:R_1206_3216Metric",""
"Conn_01x02","J1,J10","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"Conn_01x02","J12","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"USB_B_Micro","J19","eit_footprints:USB_Micro_B_Female_jlcpcb",""
"Conn_01x04","J2,J4,J5","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"Conn_01x10","J20","Connector_PinHeader_1.27mm:PinHeader_1x10_P1.27mm_Vertical",""
"connector_10pin_ISP_Console","J3","eit_footprints:connector_10pin_TC2050-IDC-NL",""
"1-1462039-5","K10","2021-04-01_19-01-27_footprints:1-1462039-5",""
"BC817","Q51,Q71","Package_TO_SOT_SMD:SOT-23",""
"47K","R18","Resistor_SMD:R_0805_2012Metric",""
"10K","R5,R19","Resistor_SMD:R_0805_2012Metric",""
"33K","R2,R42","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3.3K","R3","Resistor_SMD:R_0805_2012Metric",""
"27","R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"100","R1,R7,R12,R51,R79","Resistor_SMD:R_0805_2012Metric",""
"330","R6","Resistor_SMD:R_0805_2012Metric",""
"10","R10,R11,R30,R31,R32,R52,R71,R72","Resistor_SMD:R_1206_3216Metric",""
"Low_dropout_regulator_TPS782","U10","Package_TO_SOT_SMD:SOT-23-5",""
"ATmega328P-AU","U20","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"‎TSOP34438‎","U30,U31,U32","OptoDevice:Vishay_MOLD-3Pin",""
"Crystal_GND24","Y21","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
