Comment,Designator,Footprint,LCSC
"1uF","C10,C11,C18,C92","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C20,C21,C26,C29,C30,C31,C32,C91","Capacitor_SMD:C_0805_2012Metric",""
"D_Zener","D10","Diode_SMD:D_SMB",""
"red","D12,D71,D72,D73,D74","LED_THT:LED_D3.0mm",""
"yellow or amber","D5","LED_THT:LED_D3.0mm",""
"D","D1,D61,D81","Diode_SMD:D_SOD-123",""
"green or blue","D7","LED_THT:LED_D3.0mm",""
"Fuse","F11,F12","eit_footprints:Varistor_RV_Disc_D9mm_W5.7mm_P5mm",""
"Conn_01x02","J11","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"USB_B_Micro","J12","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"Conn_01x04","J2,J40","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"Conn_01x10","J20","Connector_PinHeader_1.27mm:PinHeader_1x10_P1.27mm_Vertical",""
"Conn_01x02","J1,J10,J13,J51,J61,J81,J91","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"1-1462039-5","K10","2021-04-01_19-01-27_footprints:1-1462039-5",""
"10uH","L91","Inductor_THT:L_Axial_L14.0mm_D4.5mm_P5.08mm_Vertical_Fastron_LACC",""
"BC817","Q41,Q51,Q61,Q71,Q81","Package_TO_SOT_SMD:SOT-23",""
"4.7 Ohm, >=3 W","R10","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical",""
"47K","R18","Resistor_SMD:R_0805_2012Metric",""
"10K","R5,R19","Resistor_SMD:R_0805_2012Metric",""
"10K","R23","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"3.3K","R3","Resistor_SMD:R_0805_2012Metric",""
"27","R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"22K","R42","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",""
"100","R41,R51,R61,R79,R81","Resistor_SMD:R_0805_2012Metric",""
"10","R71,R72,R73,R74","Resistor_SMD:R_1206_3216Metric",""
"MCP1825S","U10","eit_footprints:TO-220-3_with_heatsink_V8508B",""
"ATmega328-PU","U20","Package_DIP:DIP-28_W7.62mm",""
"TSOP34S40F","U1,U30,U31,U32,U33","OptoDevice:Vishay_MOLD-3Pin",""
"EL7202CN","U91","Package_DIP:DIP-8_W7.62mm",""
"Crystal_GND2","Y20","Crystal:Resonator-3Pin_W7.0mm_H2.5mm",""
